日期,max_temp,min_temp,ave_temp,T0100
20180908,28,18,23,2592.5443
20180909,27,19,23,2540.942485
20180910,28,19,23.5,2421.0009
20180911,29,17,23,2612.29955
20180912,28,19,23.5,2683.79199
20180913,24,17,20.5,2620.34472
20180914,27,14,20.5,2523.98204
20180915,23,13,18,2566.125085
20180916,20,15,17.5,2319.55116
20180917,25,16,20.5,2253.80679
20180918,20,15,17.5,2349.55197
20180919,20,16,18,2352.651155
20180920,24,14,19,2392.89515
20180921,25,14,19.5,2429.767215
20180922,26,14,20,2473.581025
20180923,25,14,19.5,2428.3805
20180924,23,13,18,2353.0018
20180925,18,12,15,2146.6447
20180926,21,13,17,2357.79588
20180927,17,11,14,2383.18007
20180928,23,13,18,2358.534315
20180929,25,11,18,2358.880115
20180930,23,12,17.5,2348.9662
20181001,23,12,17.5,2202.549065
20181002,22,13,17.5,2047.40105
20181003,23,12,17.5,2054.069765
20181004,24,12,18,2061.20265
20181005,24,15,19.5,2197.28293
20181006,22,10,16,2256.18274
20181007,19,11,15,2261.58235
20181008,19,9,14,2282.55151
20181009,18,7,12.5,2334.85205
20181010,21,8,14.5,2407.47746
20181011,19,9,14,2431.976535
20181012,23,12,17.5,2413.10165
20181013,20,9,14.5,2433.01707
20181014,17,8,12.5,2380.374815
20181015,21,10,15.5,2337.621585
20181016,22,9,15.5,2407.73282
20181017,20,11,15.5,2412.27819
20181018,21,9,15,2450.599955
20181019,17,8,12.5,2456.275065
20181020,19,8,13.5,2468.8866
20181021,16,8,12,2426.75182
20181022,21,7,14,2411.72928
20181023,20,7,13.5,2505.498365
20181024,20,11,15.5,2472.85475
20181025,20,7,13.5,2497.994885
20181026,18,5,11.5,2502.980485
20181027,19,5,12,2558.19667
20181028,20,4,12,2562.7732
20181029,21,7,14,2411.708855
20181030,22,3,12.5,2482.873925
20181031,21,5,13,2469.42145
20181101,20,7,13.5,2467.9442
20181102,24,5,14.5,2471.043955
20181103,19,7,13,2499.518875
20181104,15,4,9.5,2496.600475
20181105,10,3,6.5,2503.1132
20181106,8,3,5.5,2691.594435
